Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
27678-0.0,0.00044444444444444447,6.025960382929693e-05,True,1.3,1.4,,27678-0.0,,
25152-0.0,0.00044444444444444447,6.023202311794367e-05,True,5.0,19.6,,25152-0.0,,
25765-0.0,0.00044444444444444447,5.999197937839468e-05,True,16.7,26.4,,25765-0.0,,
25663-0.0,0.00022222222222222223,5.9395311781966275e-05,True,5.0,19.6,,25663-0.0,,
25845-0.0,0.00044444444444444447,5.9347247694357896e-05,True,0.0,0.0,,25845-0.0,,
25566-0.0,0.00044444444444444447,5.9175766979832294e-05,True,5.0,19.6,,25566-0.0,,
25122-0.0,0.00022222222222222223,5.9039129908676266e-05,True,5.0,19.6,,25122-0.0,,
26870-0.0,0.0008888888888888889,5.8957172378778445e-05,True,1.3,1.4,,26870-0.0,,
20126-0.0_c0,0.00022222222222222223,5.8932851990772276e-05,False,0.0,0.0,,20126-0.0_c0,,
26824-0.0,0.00044444444444444447,5.880631222118679e-05,True,1.3,1.4,,26824-0.0,,
26674-0.0,0.00044444444444444447,5.8705567697288336e-05,True,1.3,1.4,,26674-0.0,,
27244-0.0,0.00022222222222222223,5.870364445325554e-05,True,1.3,1.4,,27244-0.0,,
25529-0.0,0.00022222222222222223,5.860688189541627e-05,True,5.0,19.6,,25529-0.0,,
27420-0.0,0.00022222222222222223,5.854825812539966e-05,True,1.3,1.4,,27420-0.0,,
26945-0.0,0.00044444444444444447,5.839311223025732e-05,True,1.3,1.4,,26945-0.0,,
26739-0.0,0.00044444444444444447,5.8226182897690965e-05,True,1.3,1.4,,26739-0.0,,
26714-0.0,0.00044444444444444447,5.8139053432890105e-05,True,1.3,1.4,,26714-0.0,,
25364-0.0,0.00044444444444444447,5.783990556938917e-05,True,5.0,19.6,,25364-0.0,,
26846-0.0,0.00022222222222222223,5.782226277547355e-05,True,1.3,1.4,,26846-0.0,,
25728-0.0,0.00022222222222222223,5.7813093718102564e-05,True,5.0,19.6,,25728-0.0,,
27705-0.0,0.00044444444444444447,5.7659847043341756e-05,True,1.3,1.4,,27705-0.0,,
26822-0.0,0.00044444444444444447,5.763361162504577e-05,True,1.3,1.4,,26822-0.0,,
27697-0.0,0.00022222222222222223,5.7597205989446045e-05,True,1.3,1.4,,27697-0.0,,
25621-0.0,0.00044444444444444447,5.755631374226301e-05,True,5.0,19.6,,25621-0.0,,
27749-0.0,0.00044444444444444447,5.731166499306291e-05,True,1.3,1.4,,27749-0.0,,
27478-0.0,0.00022222222222222223,5.728187126087425e-05,True,1.3,1.4,,27478-0.0,,
25299-0.0,0.00044444444444444447,5.72663325784809e-05,True,5.0,19.6,,25299-0.0,,
25615-0.0,0.00044444444444444447,5.696232008708261e-05,True,5.0,19.6,,25615-0.0,,
27157-0.0,0.00022222222222222223,5.6813672494873996e-05,True,1.3,1.4,,27157-0.0,,
25352-0.0,0.00022222222222222223,5.67190677886148e-05,True,5.0,19.6,,25352-0.0,,
26702-0.0,0.00022222222222222223,5.669728873289282e-05,True,1.3,1.4,,26702-0.0,,
20111-0.4_neg,0.0006666666666666666,5.6488519774592045e-05,False,0.0,0.0,,20111-0.4_neg,,
26845-0.0,0.00022222222222222223,5.631273946988035e-05,True,1.3,1.4,,26845-0.0,,
26897-0.0,0.00044444444444444447,5.6268813184155034e-05,True,1.3,1.4,,26897-0.0,,
27573-0.0,0.00044444444444444447,5.6262233735186775e-05,True,1.3,1.4,,27573-0.0,,
27040-0.0,0.00044444444444444447,5.621908521283174e-05,True,1.3,1.4,,27040-0.0,,
27234-0.0,0.00022222222222222223,5.600437185031037e-05,True,1.3,1.4,,27234-0.0,,
25802-0.0,0.00044444444444444447,5.561268820489665e-05,True,0.0,0.0,,25802-0.0,,
27189-0.0,0.00044444444444444447,5.558008007661357e-05,True,1.3,1.4,,27189-0.0,,
27661-0.0,0.00044444444444444447,5.529004678818783e-05,True,1.3,1.4,,27661-0.0,,
1369-0.0_c3,0.00044444444444444447,5.527775253290967e-05,False,0.0,0.0,,1369-0.0_c3,,
27345-0.0,0.00022222222222222223,5.4959110936137216e-05,True,1.3,1.4,,27345-0.0,,
25660-0.0,0.00044444444444444447,5.495495281515532e-05,True,5.0,19.6,,25660-0.0,,
26779-0.0,0.00022222222222222223,5.4951062877524425e-05,True,1.3,1.4,,26779-0.0,,
27391-0.0,0.00022222222222222223,5.46865475061048e-05,True,1.3,1.4,,27391-0.0,,
27150-0.0,0.00022222222222222223,5.466285083990523e-05,True,1.3,1.4,,27150-0.0,,
27551-0.0,0.00044444444444444447,5.444578033742271e-05,True,1.3,1.4,,27551-0.0,,
27003-0.0,0.00022222222222222223,5.4337910388442026e-05,True,1.3,1.4,,27003-0.0,,
26562-0.0,0.00044444444444444447,5.427244114052351e-05,True,1.3,1.4,,26562-0.0,,
26793-0.0,0.00044444444444444447,5.426528826445857e-05,True,1.3,1.4,,26793-0.0,,
25827-0.0,0.00044444444444444447,5.398913849704678e-05,True,0.0,0.0,,25827-0.0,,
6164-0.2_pos,0.00044444444444444447,5.390646328792342e-05,False,0.0,0.0,,6164-0.2_pos,,
27357-0.0,0.00044444444444444447,5.38085752307311e-05,True,1.3,1.4,,27357-0.0,,
27611-0.0,0.00044444444444444447,5.380304347718393e-05,True,1.3,1.4,,27611-0.0,,
25838-0.0,0.00044444444444444447,5.3719530485031884e-05,True,0.0,0.0,,25838-0.0,,
27304-0.0,0.00022222222222222223,5.357718509196969e-05,True,1.3,1.4,,27304-0.0,,
26727-0.0,0.00022222222222222223,5.3575851015270814e-05,True,1.3,1.4,,26727-0.0,,
27021-0.0,0.00044444444444444447,5.3430611437368417e-05,True,1.3,1.4,,27021-0.0,,
25131-0.0,0.00022222222222222223,5.3265189653808695e-05,True,5.0,19.6,,25131-0.0,,
27123-0.0,0.00044444444444444447,5.314754035409335e-05,True,1.3,1.4,,27123-0.0,,
27158-0.0,0.00044444444444444447,5.302823052620206e-05,True,1.3,1.4,,27158-0.0,,
2247-0.0_c1,0.00022222222222222223,5.300513185948105e-05,False,0.0,0.0,,2247-0.0_c1,,
27170-0.0,0.0006666666666666668,5.2888437044068076e-05,True,1.3,1.4,,27170-0.0,,
25469-0.0,0.00022222222222222223,5.266509471300755e-05,True,5.0,19.6,,25469-0.0,,
1070-0.0,0.00022222222222222223,5.169214064731597e-05,False,0.3,0.0,,1070-0.0,,
25396-0.0,0.00022222222222222223,5.165237140013536e-05,True,5.0,19.6,,25396-0.0,,
47-0.0,0.00044444444444444447,5.1398366151187554e-05,False,0.3,0.0,,47-0.0,,
25334-0.0,0.00044444444444444447,5.121318060333662e-05,True,5.0,19.6,,25334-0.0,,
27252-0.0,0.00022222222222222223,5.115396251914258e-05,True,1.3,1.4,,27252-0.0,,
26873-0.0,0.00044444444444444447,5.1104648363934573e-05,True,1.3,1.4,,26873-0.0,,
26962-0.0,0.00022222222222222223,5.10969961429275e-05,True,1.3,1.4,,26962-0.0,,
26794-0.0,0.00022222222222222223,5.080724342618541e-05,True,1.3,1.4,,26794-0.0,,
26852-0.0,0.00022222222222222223,5.0610524703491896e-05,True,1.3,1.4,,26852-0.0,,
27095-0.0,0.00022222222222222223,5.017233836631417e-05,True,1.3,1.4,,27095-0.0,,
27278-0.0,0.00044444444444444447,5.015012335581928e-05,True,1.3,1.4,,27278-0.0,,
26936-0.0,0.00044444444444444447,5.011174420471704e-05,True,1.3,1.4,,26936-0.0,,
27206-0.0,0.00044444444444444447,5.006378165149154e-05,True,1.3,1.4,,27206-0.0,,
26725-0.0,0.00022222222222222223,4.9809162239093e-05,True,1.3,1.4,,26725-0.0,,
2217-0.0,0.00044444444444444447,4.977492593771123e-05,False,15.1,6.1,,2217-0.0,,
27752-0.0,0.00044444444444444447,4.9686724235418935e-05,True,1.3,1.4,,27752-0.0,,
27165-0.0,0.00022222222222222223,4.95339082190643e-05,True,1.3,1.4,,27165-0.0,,
26977-0.0,0.00022222222222222223,4.9393759019677296e-05,True,1.3,1.4,,26977-0.0,,
27268-0.0,0.00044444444444444447,4.9382774292334705e-05,True,1.3,1.4,,27268-0.0,,
26831-0.0,0.00022222222222222223,4.913991775418361e-05,True,1.3,1.4,,26831-0.0,,
25679-0.0,0.00044444444444444447,4.902720370724864e-05,True,5.0,19.6,,25679-0.0,,
25920-0.0,0.00044444444444444447,4.9021481042873805e-05,True,0.0,0.0,,25920-0.0,,
27476-0.0,0.00044444444444444447,4.88648741085228e-05,True,1.3,1.4,,27476-0.0,,
25668-0.0,0.00044444444444444447,4.876820054764184e-05,True,5.0,19.6,,25668-0.0,,
26819-0.0,0.00022222222222222223,4.861866912084886e-05,True,1.3,1.4,,26819-0.0,,
27685-0.0,0.0006666666666666666,4.836803933015711e-05,True,1.3,1.4,,27685-0.0,,
26816-0.0,0.00022222222222222223,4.834967327529804e-05,True,1.3,1.4,,26816-0.0,,
25177-0.0,0.00022222222222222223,4.833604613086869e-05,True,5.0,19.6,,25177-0.0,,
26736-0.0,0.00044444444444444447,4.817723464807235e-05,True,1.3,1.4,,26736-0.0,,
27571-0.0,0.00022222222222222223,4.8089567468538244e-05,True,1.3,1.4,,27571-0.0,,
26993-0.0,0.00022222222222222223,4.791143181939397e-05,True,1.3,1.4,,26993-0.0,,
27057-0.0,0.0006666666666666668,4.772648106922345e-05,True,1.3,1.4,,27057-0.0,,
26848-0.0,0.00022222222222222223,4.7626927824332664e-05,True,1.3,1.4,,26848-0.0,,
27333-0.0,0.00044444444444444447,4.761873182355929e-05,True,1.3,1.4,,27333-0.0,,
25492-0.0,0.00022222222222222223,4.732638834457759e-05,True,5.0,19.6,,25492-0.0,,
27623-0.0,0.00044444444444444447,4.673952574538139e-05,True,1.3,1.4,,27623-0.0,,
26532-0.0,0.00044444444444444447,4.6718009175485955e-05,True,1.3,1.4,,26532-0.0,,
25154-0.0,0.00022222222222222223,4.660681276863389e-05,True,5.0,19.6,,25154-0.0,,
25216-0.0,0.00022222222222222223,4.6130573297235836e-05,True,5.0,19.6,,25216-0.0,,
27359-0.0,0.00044444444444444447,4.582621993884171e-05,True,1.3,1.4,,27359-0.0,,
27480-0.0,0.00044444444444444447,4.577439007848583e-05,True,1.3,1.4,,27480-0.0,,
27472-0.0,0.00044444444444444447,4.571619602899685e-05,True,1.3,1.4,,27472-0.0,,
26864-0.0,0.00044444444444444447,4.56055307523005e-05,True,1.3,1.4,,26864-0.0,,
2178-0.0_c0,0.00044444444444444447,4.544762068234398e-05,False,0.0,0.0,,2178-0.0_c0,,
26878-0.0,0.00044444444444444447,4.543621085832024e-05,True,1.3,1.4,,26878-0.0,,
25499-0.0,0.00044444444444444447,4.542369370254659e-05,True,5.0,19.6,,25499-0.0,,
26983-0.0,0.00044444444444444447,4.4910838566495616e-05,True,1.3,1.4,,26983-0.0,,
27173-0.0,0.00044444444444444447,4.4840375363798655e-05,True,1.3,1.4,,27173-0.0,,
27676-0.0,0.00044444444444444447,4.460331681590637e-05,True,1.3,1.4,,27676-0.0,,
1883-0.0,0.00022222222222222223,4.447574509660087e-05,False,1.3,0.7,,1883-0.0,,
25701-0.0,0.00022222222222222223,4.4306740984374234e-05,True,5.0,19.6,,25701-0.0,,
1747-0.0_c4,0.00022222222222222223,4.399765270274651e-05,False,0.0,0.0,,1747-0.0_c4,,
26750-0.0,0.00022222222222222223,4.3862681855419906e-05,True,1.3,1.4,,26750-0.0,,
26696-0.0,0.00044444444444444447,4.376009821397205e-05,True,1.3,1.4,,26696-0.0,,
20126-0.0_c3,0.00044444444444444447,4.315271145642252e-05,False,0.0,0.0,,20126-0.0_c3,,
25347-0.0,0.00022222222222222223,4.309762400264686e-05,True,5.0,19.6,,25347-0.0,,
25640-0.0,0.00022222222222222223,4.3092542057353e-05,True,5.0,19.6,,25640-0.0,,
1210-0.0_c1,0.00044444444444444447,4.277408091848605e-05,False,0.0,0.0,,1210-0.0_c1,,
25371-0.0,0.00044444444444444447,4.2679034593464245e-05,True,5.0,19.6,,25371-0.0,,
27047-0.0,0.00022222222222222223,4.265373894841152e-05,True,1.3,1.4,,27047-0.0,,
25210-0.0,0.00044444444444444447,4.25495652550821e-05,True,5.0,19.6,,25210-0.0,,
26887-0.0,0.00044444444444444447,4.249741819215057e-05,True,1.3,1.4,,26887-0.0,,
25368-0.0,0.00022222222222222223,4.23502008008021e-05,True,5.0,19.6,,25368-0.0,,
25297-0.0,0.00022222222222222223,4.225562184239452e-05,True,5.0,19.6,,25297-0.0,,
26601-0.0,0.00044444444444444447,4.221728914313807e-05,True,1.3,1.4,,26601-0.0,,
27465-0.0,0.00022222222222222223,4.2134048402595774e-05,True,1.3,1.4,,27465-0.0,,
943-0.0_c5,0.00022222222222222223,4.201208171554307e-05,False,0.0,0.0,,943-0.0_c5,,
27094-0.0,0.00044444444444444447,4.197435873737526e-05,True,1.3,1.4,,27094-0.0,,
1538-0.0_c0,0.00044444444444444447,4.19297276311194e-05,False,0.0,0.0,,1538-0.0_c0,,
26665-0.0,0.00022222222222222223,4.155660457723311e-05,True,1.3,1.4,,26665-0.0,,
22039-0.0,0.00044444444444444447,4.148616799306519e-05,False,16.7,25.7,,22039-0.0,,
25761-0.0,0.00022222222222222223,4.126411621137962e-05,True,16.7,26.4,,25761-0.0,,
25559-0.0,0.00044444444444444447,4.095412317510242e-05,True,5.0,19.6,,25559-0.0,,
27760-0.0,0.00022222222222222223,4.078532032702279e-05,True,1.3,1.4,,27760-0.0,,
26965-0.0,0.00044444444444444447,4.0663085143495255e-05,True,1.3,1.4,,26965-0.0,,
23105-0.0,0.00022222222222222223,4.054706990704422e-05,False,1.2,2.0,,23105-0.0,,
25156-0.0,0.00022222222222222223,4.0464487568369824e-05,True,5.0,19.6,,25156-0.0,,
2443-0.0_c0,0.00044444444444444447,4.0096165149810294e-05,False,0.0,0.0,,2443-0.0_c0,,
27525-0.0,0.00022222222222222223,3.990095482148121e-05,True,1.3,1.4,,27525-0.0,,
26713-0.0,0.00022222222222222223,3.986148539820445e-05,True,1.3,1.4,,26713-0.0,,
25600-0.0,0.00044444444444444447,3.962134391213866e-05,True,5.0,19.6,,25600-0.0,,
27458-0.0,0.00022222222222222223,3.927523583970969e-05,True,1.3,1.4,,27458-0.0,,
27698-0.0,0.00022222222222222223,3.919625184683848e-05,True,1.3,1.4,,27698-0.0,,
26722-0.0,0.00044444444444444447,3.903969588423168e-05,True,1.3,1.4,,26722-0.0,,
26521-0.0,0.00022222222222222223,3.8815875575351345e-05,True,1.3,1.4,,26521-0.0,,
26949-0.0,0.00044444444444444447,3.879658602392891e-05,True,1.3,1.4,,26949-0.0,,
25374-0.0,0.00044444444444444447,3.869647236375021e-05,True,5.0,19.6,,25374-0.0,,
2624-0.0_c5,0.00022222222222222223,3.8602625388783986e-05,False,0.0,0.0,,2624-0.0_c5,,
27667-0.0,0.00022222222222222223,3.8577803149415524e-05,True,1.3,1.4,,27667-0.0,,
25120-0.0,0.00022222222222222223,3.829741336483526e-05,True,5.0,19.6,,25120-0.0,,
26729-0.0,0.00044444444444444447,3.8281184135219654e-05,True,1.3,1.4,,26729-0.0,,
25144-0.0,0.00022222222222222223,3.783851406442767e-05,True,5.0,19.6,,25144-0.0,,
25915-0.0,0.00022222222222222223,3.765620043201122e-05,True,0.0,0.0,,25915-0.0,,
27726-0.0,0.00022222222222222223,3.7543153444588676e-05,True,1.3,1.4,,27726-0.0,,
2110-0.0_c4,0.00022222222222222223,3.746626087928909e-05,False,0.0,0.0,,2110-0.0_c4,,
