Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.091,0.996,0.001,1.0,0.006,0.0,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.092,0.996,0.001,1.0,0.006,0.0,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.093,0.997,0.001,1.0,0.006,0.001,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.094,0.997,0.001,1.0,0.006,0.001,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.095,0.997,0.001,1.0,0.006,0.001,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.096,0.997,0.001,1.0,0.006,0.001,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.097,0.997,0.001,1.0,0.006,0.001,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.098,0.997,0.001,1.0,0.006,0.001,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.099,0.997,0.001,1.0,0.006,0.001,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
0.1,0.997,0.001,1.0,0.006,0.001,0.001,0.832,0.017,inf,0.0,0.0,0.001,0.0,0.013,0.001,0.002,0.013,0.001,
