Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
0.074,0.936,0.309,0.948,0.105,0.257,0.157,0.831,0.088,3.911,0.0,0.005,0.025,0.005,0.003,0.02,0.003,0.005,0.003,0.312
0.075,0.936,0.308,0.949,0.106,0.257,0.157,0.831,0.088,3.926,0.0,0.005,0.027,0.006,0.003,0.021,0.003,0.005,0.003,0.329
0.076,0.938,0.298,0.951,0.107,0.249,0.157,0.831,0.088,4.036,0.0,0.004,0.018,0.004,0.003,0.014,0.003,0.005,0.003,0.233
0.077,0.943,0.276,0.956,0.111,0.232,0.157,0.831,0.088,4.339,0.0,0.006,0.023,0.007,0.006,0.016,0.003,0.005,0.003,0.296
0.078,0.944,0.271,0.957,0.111,0.228,0.157,0.831,0.088,4.421,0.0,0.007,0.029,0.008,0.008,0.021,0.003,0.005,0.003,0.427
0.079,0.944,0.271,0.957,0.111,0.228,0.157,0.831,0.088,4.431,0.0,0.007,0.03,0.008,0.008,0.022,0.003,0.005,0.003,0.445
0.08,0.944,0.271,0.957,0.111,0.228,0.157,0.831,0.088,4.431,0.0,0.007,0.03,0.008,0.008,0.022,0.003,0.005,0.003,0.445
0.081,0.944,0.27,0.957,0.112,0.227,0.157,0.831,0.088,4.446,0.0,0.006,0.028,0.007,0.007,0.021,0.003,0.005,0.003,0.426
0.082,0.944,0.269,0.957,0.112,0.226,0.157,0.831,0.088,4.46,0.0,0.007,0.028,0.007,0.007,0.021,0.003,0.005,0.003,0.427
0.083,0.945,0.267,0.958,0.112,0.224,0.157,0.831,0.088,4.487,0.0,0.006,0.025,0.007,0.007,0.018,0.003,0.005,0.003,0.395
0.084,0.945,0.267,0.958,0.112,0.224,0.157,0.831,0.088,4.487,0.0,0.006,0.025,0.007,0.007,0.018,0.003,0.005,0.003,0.395
0.085,0.945,0.267,0.958,0.112,0.224,0.157,0.831,0.088,4.487,0.0,0.006,0.025,0.007,0.007,0.018,0.003,0.005,0.003,0.395
0.086,0.945,0.265,0.958,0.113,0.223,0.157,0.831,0.088,4.519,0.0,0.007,0.028,0.007,0.009,0.02,0.003,0.005,0.003,0.455
0.087,0.947,0.255,0.96,0.114,0.216,0.156,0.831,0.088,4.709,0.0,0.008,0.035,0.009,0.01,0.026,0.003,0.005,0.003,0.598
0.088,0.954,0.223,0.968,0.123,0.191,0.157,0.831,0.088,5.32,0.0,0.007,0.032,0.007,0.01,0.025,0.002,0.005,0.003,0.668
0.089,0.954,0.223,0.968,0.123,0.191,0.157,0.831,0.088,5.323,0.0,0.007,0.032,0.007,0.01,0.025,0.002,0.005,0.003,0.666
0.09,0.956,0.207,0.971,0.124,0.178,0.154,0.831,0.088,5.667,0.0,0.004,0.021,0.005,0.008,0.016,0.004,0.005,0.003,0.552
0.091,0.957,0.204,0.971,0.124,0.175,0.153,0.831,0.088,5.761,0.0,0.004,0.022,0.005,0.008,0.017,0.004,0.005,0.003,0.574
0.092,0.957,0.201,0.972,0.125,0.173,0.153,0.831,0.088,5.86,0.0,0.004,0.023,0.005,0.008,0.018,0.005,0.005,0.003,0.599
0.093,0.957,0.2,0.972,0.125,0.172,0.153,0.831,0.088,5.873,0.0,0.004,0.023,0.005,0.008,0.018,0.005,0.005,0.003,0.605
0.094,0.959,0.194,0.974,0.127,0.167,0.153,0.831,0.088,6.036,0.0,0.003,0.02,0.004,0.006,0.016,0.005,0.005,0.003,0.574
0.095,0.959,0.193,0.974,0.127,0.167,0.152,0.831,0.088,6.039,0.0,0.003,0.019,0.004,0.006,0.016,0.005,0.005,0.003,0.571
0.096,0.959,0.193,0.974,0.127,0.167,0.152,0.831,0.088,6.039,0.0,0.003,0.019,0.004,0.006,0.016,0.005,0.005,0.003,0.571
0.097,0.961,0.178,0.977,0.133,0.155,0.151,0.831,0.088,6.544,0.0,0.004,0.023,0.004,0.009,0.019,0.006,0.005,0.003,0.815
0.098,0.961,0.178,0.977,0.133,0.155,0.151,0.831,0.088,6.544,0.0,0.004,0.023,0.004,0.009,0.019,0.006,0.005,0.003,0.815
0.099,0.961,0.178,0.977,0.133,0.155,0.151,0.831,0.088,6.543,0.0,0.004,0.023,0.004,0.009,0.019,0.006,0.005,0.003,0.815
0.1,0.961,0.178,0.977,0.133,0.155,0.151,0.831,0.088,6.543,0.0,0.004,0.023,0.004,0.009,0.019,0.006,0.005,0.003,0.815
