Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
2492-0.0_c0,0.0077777777777777776,0.00487074699916055,0.0,0.0,,2492-0.0_c0,,
30830-0.0,0.025777777777777778,0.004744919530418381,15.2,16.0,,30830-0.0,,
2473-0.0_c0,0.01577777777777778,0.004703525456738681,0.0,0.0,,2473-0.0_c0,,
2986-0.0_c2,0.016444444444444446,0.004405658416222406,0.0,0.0,,2986-0.0_c2,,
20015-0.0,0.015777777777777776,0.0043076714011451986,1.2,2.4,,20015-0.0,,
26413-0.0,0.016444444444444446,0.00428239282661239,13.9,13.6,,26413-0.0,,
3063-0.0,0.017777777777777778,0.004197667266747381,9.6,14.0,,3063-0.0,,
2060-0.0_c0,0.01577777777777778,0.004046101330676217,0.0,0.0,,2060-0.0_c0,,
2178-0.0_c1,0.009333333333333332,0.00372529081415949,0.0,0.0,,2178-0.0_c1,,
2178-0.0_c2,0.011111111111111112,0.0037163838907425147,0.0,0.0,,2178-0.0_c2,,
30100-0.0,0.018222222222222223,0.0036316309104696886,4.8,6.1,,30100-0.0,,
1807-0.0,0.01888888888888889,0.003536684416684186,27.1,11.7,,1807-0.0,,
2443-0.0_c1,0.01288888888888889,0.003388954569018875,0.0,0.0,,2443-0.0_c1,,
2654-0.0_c0,0.014666666666666668,0.0033827155936384237,0.0,0.0,,2654-0.0_c0,,
23099-0.0,0.014,0.003370827315515221,2.0,3.7,,23099-0.0,,
22038-0.0,0.014666666666666666,0.0033485373236600245,23.2,32.4,,22038-0.0,,
1757-0.0_c0,0.015555555555555555,0.0031600331161251963,0.0,0.0,,1757-0.0_c0,,
4548-0.0_c1,0.015111111111111113,0.003105663792713206,0.0,0.0,,4548-0.0_c1,,
30630-0.0,0.012,0.003104941647060799,14.9,16.0,,30630-0.0,,
6144-0.0_pos,0.015555555555555557,0.0030546637850403313,0.0,0.0,,6144-0.0_pos,,
30850-0.0,0.012444444444444444,0.003053386965202651,15.4,18.9,,30850-0.0,,
2415-0.0_c0,0.01088888888888889,0.0030163756998882007,0.0,0.0,,2415-0.0_c0,,
22039-0.0,0.012,0.002988865135222289,23.2,32.4,,22039-0.0,,
1920-0.0_c1,0.012888888888888889,0.0029871495876237597,0.0,0.0,,1920-0.0_c1,,
30640-0.0,0.015333333333333332,0.0029721464823983736,7.0,8.3,,30640-0.0,,
30140-0.0,0.017555555555555553,0.0029652720618132027,5.0,6.2,,30140-0.0,,
20110-0.6_pos,0.014666666666666668,0.002947126815136921,0.0,0.0,,20110-0.6_pos,,
2149-0.0,0.015111111111111112,0.002936848606944878,19.3,28.8,,2149-0.0,,
1279-0.0,0.0077777777777777776,0.0028056017573812606,16.0,20.0,,1279-0.0,,
30730-0.0,0.00977777777777778,0.0027495577423267683,6.6,7.8,,30730-0.0,,
1508-0.0_c2,0.014000000000000002,0.002729246870656394,0.0,0.0,,1508-0.0_c2,,
6150-0.1_pos,0.012888888888888887,0.0026817608528355887,0.0,0.0,,6150-0.1_pos,,
47-0.0,0.012444444444444444,0.0026798829941196514,0.6,1.0,,47-0.0,,
2178-0.0_c0,0.011777777777777778,0.0026769299275068194,0.0,0.0,,2178-0.0_c0,,
1568-0.0,0.013777777777777778,0.0025956526196193965,31.3,38.6,,1568-0.0,,
30750-0.0,0.012,0.002430198067748755,7.2,8.0,,30750-0.0,,
20111-0.1_neg,0.011555555555555555,0.002321374991759408,0.0,0.0,,20111-0.1_neg,,
1528-0.0,0.014444444444444444,0.0023062437728659253,0.9,1.6,,1528-0.0,,
87-0.0,0.008666666666666666,0.0022771355935908523,28.8,17.6,,87-0.0,,
2624-0.0_c6,0.00977777777777778,0.0022169014061811086,0.0,0.0,,2624-0.0_c6,,
1160-0.0,0.006222222222222223,0.002098707567803378,0.8,1.9,,1160-0.0,,
30130-0.0,0.005555555555555556,0.001999596612017357,5.0,6.2,,30130-0.0,,
129-0.0,0.011333333333333334,0.0019900472806820848,11.5,11.5,,129-0.0,,
22034-0.0,0.008222222222222223,0.001962383657171829,23.2,32.4,,22034-0.0,,
23100-0.0,0.008444444444444445,0.0019424329150243415,2.1,3.9,,23100-0.0,,
2277-0.0,0.010666666666666668,0.001883948025913266,2.1,3.8,,2277-0.0,,
30740-0.0,0.008,0.0018626671203243838,14.5,15.3,,30740-0.0,,
3591-0.0_c2,0.004222222222222223,0.0018303653270359825,0.0,0.0,,3591-0.0_c2,,
2050-0.0_c0,0.007333333333333334,0.0017709550579357656,0.0,0.0,,2050-0.0_c0,,
845-0.0,0.0071111111111111115,0.0017688206952846306,34.4,24.0,,845-0.0,,
22040-0.0,0.007999999999999998,0.0017082102166696212,23.2,32.4,,22040-0.0,,
30660-0.0,0.007333333333333332,0.001699850245472446,20.7,20.5,,30660-0.0,,
30020-0.0,0.006,0.0016796876897797331,4.8,6.1,,30020-0.0,,
2814-0.0_c1,0.004666666666666666,0.001668561197374135,0.0,0.0,,2814-0.0_c1,,
30070-0.0,0.006222222222222222,0.0016612717104813486,4.8,6.1,,30070-0.0,,
20009-0.0,0.0077777777777777776,0.0016584264824164954,28.8,17.6,,20009-0.0,,
30840-0.0,0.008,0.0015774461487655504,6.9,8.0,,30840-0.0,,
4717-0.0_c1,0.0064444444444444445,0.0015003092238742115,0.0,0.0,,4717-0.0_c1,,
30090-0.0,0.007777777777777778,0.0014702010907197338,4.8,6.1,,30090-0.0,,
3720-0.0_c2,0.00044444444444444447,0.0014648599729170423,0.0,0.0,,3720-0.0_c2,,
971-0.0_c1,0.00688888888888889,0.0013834437108052916,0.0,0.0,,971-0.0_c1,,
20022-0.0,0.0077777777777777776,0.0013411298022427485,44.7,58.5,,20022-0.0,,
6147-0.3_pos,0.007555555555555555,0.0013142921235186412,0.0,0.0,,6147-0.3_pos,,
30010-0.0,0.006666666666666667,0.0013130769519521523,4.8,6.1,,30010-0.0,,
30030-0.0,0.004888888888888889,0.0013118043264045466,4.8,6.1,,30030-0.0,,
30870-0.0,0.007333333333333333,0.0013027943064298424,6.6,7.8,,30870-0.0,,
23127-0.0,0.006444444444444445,0.001300428246032482,2.0,3.7,,23127-0.0,,
2080-0.0_c3,0.0035555555555555557,0.0012646871316859152,0.0,0.0,,2080-0.0_c3,,
30520-0.0,0.0071111111111111115,0.0012257177187851725,3.8,5.9,,30520-0.0,,
1269-0.0,0.004666666666666666,0.0012240426603049661,10.1,12.0,,1269-0.0,,
23108-0.0,0.005555555555555556,0.001212510746272704,2.0,3.7,,23108-0.0,,
4728-0.0_c1,0.005111111111111111,0.0012109511853963962,0.0,0.0,,4728-0.0_c1,,
2267-0.0_c0,0.004888888888888889,0.0011755998500258345,0.0,0.0,,2267-0.0_c0,,
1379-0.0_c0,0.006222222222222223,0.0011559949604289554,0.0,0.0,,1379-0.0_c0,,
2724-0.0_c1,0.0013333333333333335,0.0011431695183445362,0.0,0.0,,2724-0.0_c1,,
1319-0.0,0.006666666666666667,0.001124622590384075,1.4,2.3,,1319-0.0,,
23128-0.0,0.005555555555555556,0.0011129031473910973,2.0,3.7,,23128-0.0,,
1289-0.0,0.005555555555555555,0.0011017631475189465,1.5,2.6,,1289-0.0,,
6142-0.4_pos,0.0024444444444444444,0.0010791755495989368,0.0,0.0,,6142-0.4_pos,,
1628-0.0_c1,0.0064444444444444445,0.0010754463540900818,0.0,0.0,,1628-0.0_c1,,
1050-0.0,0.0028888888888888888,0.0010703722995331914,6.7,9.5,,1050-0.0,,
2050-0.0_c4,0.005333333333333334,0.0010680719440558603,0.0,0.0,,2050-0.0_c4,,
971-0.0_c2,0.005777777777777778,0.0010493120114475017,0.0,0.0,,971-0.0_c2,,
30530-0.0,0.004666666666666666,0.0010340584551315661,3.8,5.9,,30530-0.0,,
30860-0.0,0.0044444444444444444,0.0010056169531870436,14.5,15.2,,30860-0.0,,
23123-0.0,0.004666666666666666,0.001001814515903754,2.0,3.7,,23123-0.0,,
1598-0.0,0.004222222222222222,0.000989208342589622,31.4,38.5,,1598-0.0,,
30280-0.0,0.006,0.000986665871818573,6.5,7.3,,30280-0.0,,
20117-0.0_c1,0.003777777777777778,0.000984594901715125,0.0,0.0,,20117-0.0_c1,,
2956-0.0_c0,0.0017777777777777779,0.0009675218212673507,0.0,0.0,,2956-0.0_c0,,
2100-0.0_c0,0.005555555555555556,0.0009573142239171487,0.0,0.0,,2100-0.0_c0,,
1920-0.0_c0,0.004666666666666666,0.0009329636757478887,0.0,0.0,,1920-0.0_c0,,
30770-0.0,0.003111111111111111,0.0009036897576312401,7.0,8.3,,30770-0.0,,
1873-0.0,0.0028888888888888888,0.0008998039288381817,1.9,2.7,,1873-0.0,,
1797-0.0_c0,0.0037777777777777775,0.0008877711378427825,0.0,0.0,,1797-0.0_c0,,
4526-0.0_c1,0.0011111111111111111,0.0008652800224984369,0.0,0.0,,4526-0.0_c1,,
4080-0.0,0.00488888888888889,0.0008518954979333098,6.0,6.9,,4080-0.0,,
