s01_rank,feature,s01_gain
235,FS_ST99SA,0.005771342177876823
236,FS_ST84TS,0.0057668391122235405
237,WMH_CEREBRUM_TCB,0.005704789047981114
238,FS_ST17SV,0.005673687552239417
239,FS_ST31TS,0.005640747364790215
240,FS_ST56TA,0.005617348840838436
241,FS_ST26CV,0.005613515293209161
242,FS_ST56TS,0.0056095927755581716
243,FS_ST65SV,0.0055968436686520545
244,FS_ST151SV,0.005566503901269575
245,FS_ST117CV,0.005499643337197685
246,FS_ST76SV,0.005483285609647277
247,FS_ST106SA,0.005394802182814632
248,FS_ST114TS,0.005354561969965394
249,FS_ST117SA,0.00535420968729324
250,GFAP_Q,0.005332353203068128
251,FS_ST21SV,0.005326865468047346
252,FS_ST82CV,0.005319206963264572
253,FS_ST35SA,0.005311057361575012
254,FS_ST97TS,0.00528916905966315
255,FS_ST42SV,0.005262876007277157
256,FS_ST23SA,0.005236073814141887
257,FS_ST43TA,0.005221391051824254
258,FS_ST31CV,0.005159680703253531
259,FS_ST87sa,0.005146446370724017
260,FS_ST116CV,0.0051091097881997595
261,FS_ST104CV,0.005084445429355428
262,FS_ST104TS,0.005016525788295372
263,FS_ST6SV,0.004982502558057307
264,FS_ST39CV,0.004922215941826012
265,FS_ST94CV,0.00490364935724096
266,FS_ST96SV,0.004872420089747731
267,FS_ST56SA,0.004869451103750498
268,FS_ST62CV,0.004866437498194575
269,FS_ST108TA,0.00484446418989073
270,FS_ST51SA,0.004776955217984229
271,FS_ST97TA,0.004729913210962383
272,FS_ST26TS,0.00472084889498158
273,FS_ST36SA,0.004707511085703043
274,FS_ST32SA,0.00469148445331374
275,FS_ST130SA,0.004669279897632272
276,FS_ST82TS,0.0045949976352961585
277,FS_ST54CV,0.004568792601809688
278,FS_ST119TS,0.00456289760628871
279,FS_ST24TA,0.004499106580200048
280,FS_ST35TS,0.004453487207682948
281,FS_ST48TS,0.004445307530661456
282,FS_ST36CV,0.004431803492575393
283,FS_ST119TA,0.004337242667049546
284,FS_ST25SA,0.0043035877750020836
285,PTMARRY,0.00424333065076892
286,FS_ST113SA,0.0042309620776192
287,FS_ST110CV,0.004191086305583033
288,FS_ST45CV,0.004184927408760907
289,FS_ST73CV,0.004182843248175494
290,FS_ST121TA,0.004128407196463847
291,FS_ST57TA,0.00409873573795278
292,FS_ST59SA,0.0040729711774415735
293,FS_ST98SA,0.00398447823509073
294,FS_ST28SA,0.00397652250917215
295,FS_ST11SV,0.003939252737220396
296,FS_ST49TA,0.003935024453406093
297,education_years,0.003918509732446264
298,FS_ST52TS,0.003895230022726182
299,FS_ST43SA,0.003894549875262922
300,FS_ST94SA,0.0038579604147975866
301,FS_ST115SA,0.003851944007163109
302,FS_ST95TA,0.0038415264915816873
303,FS_ST34SA,0.003826407871792376
304,FS_ST73TA,0.0037620016321894966
305,FS_ST108SA,0.003753985582050621
306,FS_ST116SA,0.0037177236269877543
307,FS_ST127SV,0.0036550187933535655
308,FS_ST106TS,0.0036487778260892445
309,FS_ST91TA,0.0036073477320655474
310,FS_ST154SV,0.003569085152398462
311,FS_ST107CV,0.0035161745993123094
312,FS_ST40TS,0.0034773274060477216
313,FS_ST61SV,0.0034437659822233882
314,FS_ST82TA,0.003441751851449961
315,FS_ST147SV,0.0034332784574136236
316,FS_ST32TS,0.0034025463564703274
317,FS_ST117TA,0.0033999800115922054
318,FS_ST60TS,0.0033753883391724913
319,FS_ST47TA,0.0033658481136528686
320,FS_ST93TS,0.0033609515208004007
321,FS_ST38TA,0.0033540691998816697
322,FS_ST91SA,0.003324594980947649
323,FS_ST98TA,0.0033072966959241164
324,FS_ST51CV,0.003301084236544109
325,FS_ST49SA,0.003242553833292911
326,FS_ST111TS,0.0031840988492538107
327,FS_ST130TS,0.003156065225157897
328,FS_ST59TS,0.0031257543917934034
329,FS_ST115CV,0.0030528136034375414
330,FS_ST53SV,0.002991877326406781
331,FS_ST56CV,0.0029327932411051987
332,FS_ST46CV,0.0029149614720842187
333,FS_ST38SA,0.0028904198584413683
334,FS_ST113TS,0.0027910833744609525
335,FS_ST40SA,0.002703682582188337
336,FS_ST31SA,0.002624804122806871
337,FS_ST152SV,0.0026176294132397634
338,WMH_CEREBRUM_TCV,0.002581549514077357
339,FS_ST97CV,0.002507695173081074
340,FS_ST149SV,0.0024649226660293545
341,FS_ST91CV,0.0024116178043077827
342,FS_ST74CV,0.0022334522375437233
343,FS_ST114TA,0.002223231334571648
344,FS_ST115TA,0.0022108759600797615
345,FS_ST102TA,0.002131995735678022
346,FS_ST155SV,0.0021212834178121124
347,FS_ST74SA,0.001990676260178126
348,BSI_BRAINVOL,0.0019289860728388644
349,FS_ST94TA,0.001888855923371798
350,FS_ST105TS,0.0018715262902806256
351,AMY_AMYLOID_STATUS,0.0018126467661254402
352,FS_ST55TA,0.0015512618504273875
353,FS_ST107SA,0.0014733435637062434
354,FS_ST150SV,0.001271839279386941
355,FS_ST148SV,0.0010771701284325393
356,sex,0.00034912134483778146
357,PTHAND,0.00025106536729521147
