,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,Cutoff_std,Acc_std,Sens_std,Spec_std,Prec_std,Youden_std,F1_std,AUC_std,APR_std,NND_std
75,0.076,0.939,0.294,0.952,0.112,0.247,0.162,0.831,0.093,4.064,0.0,0.002,0.011,0.002,0.007,0.013,0.009,0.004,0.004,0.22
76,0.077,0.94,0.289,0.954,0.113,0.243,0.162,0.831,0.093,4.132,0.0,0.002,0.01,0.002,0.007,0.012,0.009,0.004,0.004,0.209
77,0.078,0.941,0.285,0.955,0.114,0.24,0.163,0.831,0.093,4.185,0.0,0.002,0.01,0.002,0.008,0.011,0.009,0.004,0.004,0.205
78,0.079,0.942,0.281,0.956,0.115,0.236,0.163,0.831,0.093,4.241,0.0,0.002,0.009,0.002,0.007,0.011,0.009,0.004,0.004,0.2
79,0.08,0.943,0.275,0.957,0.115,0.232,0.163,0.831,0.093,4.328,0.0,0.002,0.011,0.002,0.008,0.012,0.009,0.004,0.004,0.236
80,0.081,0.944,0.27,0.958,0.116,0.228,0.162,0.831,0.093,4.393,0.0,0.002,0.01,0.002,0.007,0.011,0.009,0.004,0.004,0.221
81,0.082,0.945,0.266,0.959,0.117,0.225,0.163,0.831,0.093,4.452,0.0,0.002,0.01,0.001,0.007,0.012,0.009,0.004,0.004,0.232
82,0.083,0.946,0.262,0.96,0.118,0.222,0.163,0.831,0.093,4.52,0.0,0.002,0.011,0.001,0.007,0.012,0.008,0.004,0.004,0.24
83,0.084,0.947,0.258,0.961,0.119,0.219,0.163,0.831,0.093,4.569,0.0,0.002,0.011,0.002,0.007,0.011,0.008,0.004,0.004,0.237
84,0.085,0.948,0.253,0.962,0.121,0.215,0.164,0.831,0.093,4.665,0.0,0.002,0.013,0.002,0.007,0.013,0.008,0.004,0.004,0.288
85,0.086,0.949,0.248,0.964,0.122,0.211,0.163,0.831,0.093,4.753,0.0,0.002,0.014,0.002,0.007,0.013,0.008,0.004,0.004,0.302
86,0.087,0.95,0.245,0.964,0.123,0.209,0.163,0.831,0.093,4.805,0.0,0.002,0.013,0.002,0.007,0.013,0.008,0.004,0.004,0.298
87,0.088,0.951,0.24,0.965,0.123,0.205,0.163,0.831,0.093,4.899,0.0,0.001,0.014,0.001,0.007,0.014,0.009,0.004,0.004,0.323
88,0.089,0.952,0.235,0.966,0.124,0.201,0.163,0.831,0.093,4.992,0.0,0.001,0.014,0.001,0.006,0.013,0.008,0.004,0.004,0.336
89,0.09,0.952,0.231,0.967,0.124,0.198,0.162,0.831,0.093,5.081,0.0,0.001,0.012,0.001,0.006,0.012,0.008,0.004,0.004,0.31
90,0.091,0.953,0.225,0.968,0.125,0.192,0.16,0.831,0.093,5.216,0.0,0.001,0.012,0.001,0.006,0.011,0.007,0.004,0.004,0.305
91,0.092,0.954,0.222,0.968,0.126,0.191,0.161,0.831,0.093,5.255,0.0,0.001,0.011,0.001,0.006,0.011,0.007,0.004,0.004,0.306
92,0.093,0.954,0.219,0.969,0.127,0.189,0.161,0.831,0.093,5.317,0.0,0.001,0.011,0.001,0.006,0.011,0.007,0.004,0.004,0.303
93,0.094,0.955,0.216,0.97,0.128,0.186,0.161,0.831,0.093,5.392,0.0,0.001,0.012,0.001,0.006,0.011,0.008,0.004,0.004,0.333
94,0.095,0.955,0.211,0.971,0.128,0.182,0.159,0.831,0.093,5.517,0.0,0.001,0.01,0.001,0.006,0.01,0.007,0.004,0.004,0.293
95,0.096,0.956,0.206,0.972,0.128,0.177,0.158,0.831,0.093,5.659,0.0,0.001,0.01,0.001,0.006,0.01,0.007,0.004,0.004,0.311
96,0.097,0.957,0.202,0.972,0.129,0.174,0.157,0.831,0.093,5.765,0.0,0.001,0.008,0.001,0.006,0.008,0.007,0.004,0.004,0.284
97,0.098,0.957,0.197,0.973,0.13,0.17,0.156,0.831,0.093,5.897,0.0,0.001,0.007,0.001,0.007,0.008,0.007,0.004,0.004,0.286
98,0.099,0.958,0.193,0.974,0.13,0.167,0.156,0.831,0.093,6.017,0.0,0.001,0.007,0.001,0.007,0.008,0.007,0.004,0.004,0.293
99,0.1,0.959,0.188,0.974,0.13,0.162,0.154,0.831,0.093,6.184,0.0,0.001,0.008,0.001,0.007,0.008,0.008,0.004,0.004,0.332
