s01_rank,feature,s01_gain,in_top10_survival
71,FS_ST84TA,0.016294874455310648,False
72,FS_ST39SA,0.016121855742791437,False
73,FS_ST36TA,0.015409156101019256,False
74,FS_ST70SV,0.015337808498757972,False
75,FS_ST26SA,0.015307745869778953,False
76,FS_ST18SV,0.015222348823824382,False
77,FS_ST119TS,0.014711734870489363,False
78,FS_ST56SA,0.014659417362033257,False
79,FS_ST44TS,0.014548764236012514,False
80,FS_ST114CV,0.014486103782433184,False
81,FS_ST1SV,0.014395879097207517,False
82,FS_ST14SA,0.014357154354054467,False
83,FS_ST26CV,0.014294297962999953,False
84,WMH_CEREBRUM_GRAY,0.014243777866663592,False
85,FS_ST39TS,0.014197362853743616,False
86,FS_ST113TS,0.014172895026732283,False
87,FS_ST40TA,0.0138735144583844,False
88,FS_ST7SV,0.013811362606461704,False
89,FS_ST14CV,0.01368470181758921,False
90,FS_ST121TA,0.01365955067194753,False
91,FS_ST51CV,0.013428603373598602,False
92,FS_ST75SV,0.01338691965637759,False
93,FS_ST99CV,0.0133423600209141,False
94,FS_ST98TA,0.013319797216728742,False
95,FS_ST82TA,0.012509795568786217,False
96,FS_ST60TA,0.012506284514409945,False
97,FS_ST25CV,0.012430246287164945,False
98,FS_ST47TS,0.012411775268454477,False
99,FS_ST76SV,0.012372375455688252,False
100,GFAP_F,0.012341138495134,False
101,FS_ST55TS,0.011654864262878387,False
102,FS_ST36CV,0.011572754066197503,False
103,FS_ST24TS,0.0115287994098631,False
104,FS_ST93SA,0.011502617837817784,False
105,APOE4_carrier,0.011466155168008033,False
106,FS_ST30SV,0.011259974203001564,False
107,FS_ST90CV,0.011180479683638299,False
108,WMH_LEFT_HIPPO,0.010831114592687565,False
109,FS_ST93CV,0.010815866378859233,False
110,FS_ST121TS,0.010695330458145573,False
111,FS_ST40CV,0.010674957855469932,False
112,FS_ST130TA,0.010498185991233706,False
113,FS_ST35TS,0.010388361222480016,False
114,FS_ST102TS,0.010226711603940043,False
115,FS_ST35SA,0.010158616598367646,False
116,FS_ST58TA,0.01006273608792003,False
117,FS_ST60SA,0.010045005302300479,False
118,FS_ST129TA,0.010033541994256127,False
119,FS_ST57CV,0.010020508867176542,False
120,FS_ST65SV,0.009799886983942702,False
121,FS_ST116CV,0.009771709291551505,False
122,FS_ST85TS,0.009725720359787495,False
123,FS_ST125SV,0.009674682523156317,False
124,FS_ST114TS,0.009570847016732453,False
125,FS_ST34CV,0.009515031903298533,False
126,FS_ST104TS,0.009494801751264265,False
127,FS_ST3SV,0.009424131409922229,False
128,FS_ST13CV,0.009278893608547716,False
129,FS_ST103SA,0.009248592117556395,False
130,FS_ST94SA,0.009219756286142845,False
131,FS_ST52SA,0.009170416852611947,False
132,FS_ST62TA,0.009083235148779335,False
133,FS_ST82TS,0.009062933878288201,False
