Features,Cover,Gain,IsImaging,NA_full,NA_target,Path,Field,ValueType,Units
25543-0.0,0.00022222222222222223,2.7902768720074773e-06,True,5.0,27.4,,25543-0.0,,
27506-0.0,0.00022222222222222223,2.7625972083565107e-06,True,1.3,3.2,,27506-0.0,,
26882-0.0,0.00022222222222222223,2.749047190608647e-06,True,1.3,3.2,,26882-0.0,,
27318-0.0,0.00022222222222222223,2.7367303158713093e-06,True,1.3,3.2,,27318-0.0,,
25481-0.0,0.00022222222222222223,2.6979261320949613e-06,True,5.0,27.4,,25481-0.0,,
102-0.0,0.00022222222222222223,2.6921445585702625e-06,False,7.0,9.7,,102-0.0,,
27488-0.0,0.00022222222222222223,2.6736144916242813e-06,True,1.3,3.2,,27488-0.0,,
26686-0.0,0.00022222222222222223,2.6360653199130076e-06,True,1.3,3.2,,26686-0.0,,
25859-0.0,0.00022222222222222223,2.5997064999252563e-06,True,0.0,0.0,,25859-0.0,,
49-0.0,0.00022222222222222223,2.593013704345917e-06,False,0.1,0.0,,49-0.0,,
25009-0.0,0.00022222222222222223,2.591565179165894e-06,True,0.0,0.0,,25009-0.0,,
25323-0.0,0.00022222222222222223,2.5810774985121323e-06,True,5.0,27.4,,25323-0.0,,
27544-0.0,0.00022222222222222223,2.5800244794839784e-06,True,1.3,3.2,,27544-0.0,,
1120-0.0_c2,0.00022222222222222223,2.5558141343665476e-06,False,0.0,0.0,,1120-0.0_c2,,
1408-0.0_c4,0.00044444444444444447,2.5320098911024e-06,False,0.0,0.0,,1408-0.0_c4,,
27040-0.0,0.00022222222222222223,2.527026616236707e-06,True,1.3,3.2,,27040-0.0,,
27516-0.0,0.00022222222222222223,2.521244889338347e-06,True,1.3,3.2,,27516-0.0,,
25684-0.0,0.00022222222222222223,2.4950225945187965e-06,True,5.0,27.4,,25684-0.0,,
27710-0.0,0.00022222222222222223,2.492553892071493e-06,True,1.3,3.2,,27710-0.0,,
1050-0.0,0.00022222222222222223,2.4823203221887843e-06,False,5.2,6.5,,1050-0.0,,
27476-0.0,0.00022222222222222223,2.4797560050320085e-06,True,1.3,3.2,,27476-0.0,,
1180-0.0_c2,0.00022222222222222223,2.395066889393896e-06,False,0.0,0.0,,1180-0.0_c2,,
30870-0.0,0.00022222222222222223,2.3845337919644504e-06,False,6.6,8.1,,30870-0.0,,
26759-0.0,0.00022222222222222223,2.3746291050585013e-06,True,1.3,3.2,,26759-0.0,,
27170-0.0,0.00022222222222222223,2.372663629672792e-06,True,1.3,3.2,,27170-0.0,,
26845-0.0,0.00022222222222222223,2.3503767940447385e-06,True,1.3,3.2,,26845-0.0,,
25461-0.0,0.00022222222222222223,2.33697693070015e-06,True,5.0,27.4,,25461-0.0,,
27672-0.0,0.00022222222222222223,2.3185645101513495e-06,True,1.3,3.2,,27672-0.0,,
27299-0.0,0.00022222222222222223,2.307792049836047e-06,True,1.3,3.2,,27299-0.0,,
27175-0.0,0.00022222222222222223,2.2935036840149658e-06,True,1.3,3.2,,27175-0.0,,
26797-0.0,0.00022222222222222223,2.2822630921099814e-06,True,1.3,3.2,,26797-0.0,,
1389-0.0_c0,0.00022222222222222223,2.2036176999676067e-06,False,0.0,0.0,,1389-0.0_c0,,
27238-0.0,0.00022222222222222223,2.202404453659687e-06,True,1.3,3.2,,27238-0.0,,
1737-0.0,0.00022222222222222223,2.1433950290065443e-06,False,24.4,27.4,,1737-0.0,,
26993-0.0,0.00022222222222222223,2.1415565270436937e-06,True,1.3,3.2,,26993-0.0,,
27242-0.0,0.00022222222222222223,2.1226458883536827e-06,True,1.3,3.2,,27242-0.0,,
25901-0.0,0.00022222222222222223,2.1134204598506372e-06,True,0.0,0.0,,25901-0.0,,
25406-0.0,0.00022222222222222223,2.1120278928488543e-06,True,5.0,27.4,,25406-0.0,,
25204-0.0,0.00022222222222222223,2.103626930328152e-06,True,5.0,27.4,,25204-0.0,,
26842-0.0,0.00022222222222222223,2.1027567658550643e-06,True,1.3,3.2,,26842-0.0,,
27553-0.0,0.00022222222222222223,2.084764125471915e-06,True,1.3,3.2,,27553-0.0,,
25262-0.0,0.00022222222222222223,2.080305236539608e-06,True,5.0,27.4,,25262-0.0,,
27287-0.0,0.00022222222222222223,2.071729612257239e-06,True,1.3,3.2,,27287-0.0,,
25810-0.0,0.00022222222222222223,2.0674647284732725e-06,True,0.0,0.0,,25810-0.0,,
25853-0.0,0.00022222222222222223,2.067303331168072e-06,True,0.0,0.0,,25853-0.0,,
25738-0.0,0.00022222222222222223,2.0484103815484483e-06,True,10.8,16.1,,25738-0.0,,
25238-0.0,0.00022222222222222223,2.0226633629456674e-06,True,5.0,27.4,,25238-0.0,,
26667-0.0,0.00022222222222222223,2.008815319983314e-06,True,1.3,3.2,,26667-0.0,,
51-0.0,0.00022222222222222223,2.0017150557000832e-06,False,1.4,4.8,,51-0.0,,
26536-0.0,0.00022222222222222223,1.966144966193465e-06,True,1.3,3.2,,26536-0.0,,
1438-0.0,0.00022222222222222223,1.9618751968451496e-06,False,1.8,6.5,,1438-0.0,,
23126-0.0,0.00022222222222222223,1.9558232112964764e-06,False,1.2,1.6,,23126-0.0,,
27288-0.0,0.00022222222222222223,1.9432343865069495e-06,True,1.3,3.2,,27288-0.0,,
25344-0.0,0.00022222222222222223,1.8902563093930402e-06,True,5.0,27.4,,25344-0.0,,
25884-0.0,0.00022222222222222223,1.8785497733835085e-06,True,0.0,0.0,,25884-0.0,,
26857-0.0,0.00022222222222222223,1.831017326984589e-06,True,1.3,3.2,,26857-0.0,,
26833-0.0,0.00022222222222222223,1.8118098442043671e-06,True,1.3,3.2,,26833-0.0,,
27587-0.0,0.00022222222222222223,1.7802649479708992e-06,True,1.3,3.2,,27587-0.0,,
2296-0.0_c1,0.00022222222222222223,1.7234696146349632e-06,False,0.0,0.0,,2296-0.0_c1,,
1717-0.0_c0,0.00022222222222222223,1.7137721346277543e-06,False,0.0,0.0,,1717-0.0_c0,,
